English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style
CAPTAIN AMERICA,美国队长,男,正派,科技,通过超级士兵血清获得远超常人的力量、速度、耐力、敏捷和自愈能力，精通各种格斗技巧和战术，使用振金盾牌作为主要武器。,是,10,复仇者联盟,亚伯拉罕·厄斯金博士,2,团队核心
IRON MAN/TONY STARK,钢铁侠/托尼·斯塔克,男,正派,科技,依靠高科技战甲，具备飞行、能量炮、防御力场、人工智能辅助战斗等能力。,是,10,复仇者联盟,霍华德·斯塔克,7,团队核心
THING/BENJAMIN J. GR,石头人/本杰明·雅各布·格林,男,正派,变异,全身覆盖岩石皮肤，拥有超强力量和防御力，可承受极端物理冲击，但行动相对笨重。,否,0,神奇四侠,里德·理查兹,3,团队核心
MR. FANTASTIC/REED R,神奇先生/里德·理查兹,男,正派,变异,身体具有超强弹性和可塑性，能随意拉伸、变形，智力超群，是顶尖科学家和发明家。,是,1,神奇四侠,无,3,团队核心
WOLVERINE/LOGAN,金刚狼/罗根,男,正派,变异,拥有超强自愈因子、艾德曼合金骨骼与可伸缩的利爪，感官敏锐，战斗经验丰富。,否,约10部,X战警,X教授,7,孤傲
HUMAN TORCH/JOHNNY S,霹雳火/约翰尼·斯托姆,男,正派,变异,全身产生并控制火焰，飞行，发射火球，形成火焰屏障，免疫高温伤害。,否,0,神奇四侠,里德·理查兹,4,冲动热情
SCARLET WITCH/WANDA,绯红女巫/旺达·马克西莫夫,女,正派/反派,魔法/变异,混沌魔法，现实扭曲，能量投射，心灵感应，飞行，概率操控，创造幻象。,是,5,复仇者联盟,阿加莎·哈克尼斯,9,孤傲/情感驱动
THOR/DR. DONALD BLAK,雷神/唐纳德·布莱克博士,男,正派,神力,拥有雷神之力，可操控雷电、飞行、超强力量与耐力，使用雷神之锤姆乔尔尼尔。,是,8,复仇者联盟,奥丁,9,团队核心
BEAST/HENRY &HANK& P,野兽/亨利·菲利普·“汉克”·麦考伊,男,正派,变异,拥有超人的力量、速度、敏捷性和耐力，手脚巨大且能攀爬，智力极高，是遗传学专家。,是,约5部,X战警,X教授,3,团队核心/学者型
VISION,幻视,非人类,正派,科技/宇宙能量,由振金和心灵宝石构成，拥有飞行、密度控制、能量发射、超强计算和网络连接能力。,是,4,复仇者联盟,托尼·斯塔克,4,理性温和
INVISIBLE WOMAN/SUE,隐形女侠/苏珊·斯托姆,女,正派,变异,能够使自身或他人隐形，并生成隐形力场进行防御和攻击，控制力场形状和强度。,否,4,神奇四侠,里德·理查兹,3,团队核心
HAWK,鹰眼,男,正派,格斗,世界顶级弓箭手，精通各种武器和格斗技巧，无超能力但拥有卓越的战术头脑和精准射击能力。,是,6,复仇者联盟,尼克·弗瑞,3,团队核心
WASP/JANET VAN DYNE,黄蜂女/珍妮特·范·戴因,女,正派,科技,通过皮姆粒子缩小身体至亚原子级别，获得飞行能力，并能发射生物电能量冲击波。,是,2,复仇者联盟,汉克·皮姆,3,团队核心
ANT-MAN/DR. HENRY J.,蚁人/亨利·乔纳森·皮姆博士,男,正派,科技,通过皮姆粒子缩小或放大自身及物体，与蚂蚁等昆虫沟通，控制蚁群，在亚原子领域穿梭。,是,3,复仇者联盟,无,4,孤傲
CYCLOPS/SCOTT SUMMER,镭射眼/斯科特·萨默斯,男,正派,变异,双眼能发射红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心
SHE-HULK/JENNIFER WA,女浩克/詹妮弗·沃尔特斯,女,正派,变异,通过输血获得类似浩克的超强力量、耐力、再生能力，但能保持理智和律师身份，可控制变身。,是,1,复仇者联盟,布鲁斯·班纳（浩克）,4,团队合作者
STORM/ORORO MUNROE S,暴风女/奥萝洛·门罗,女,正派,变异,能操控天气，包括召唤雷电、风暴、降雨、降雪等，并可飞行。,否,约6部,X战警,X教授,7,团队核心
ANGEL/WARREN KENNETH,天使/沃伦·肯尼思·沃辛顿三世,男,正派,变异,拥有巨大的白色翅膀，可飞行，具备超人类力量、速度和耐力，能发射锋利的羽毛作为武器。,否,0,X战警,X教授,4,孤傲
DR. STRANGE/STEPHEN,奇异博士/史蒂芬·斯特兰奇,男,正派,魔法,精通多元宇宙魔法，能操控时间、空间和维度，使用法器如悬浮斗篷和阿戈摩托之眼进行战斗和防御。,是,4,复仇者联盟,古一,8,孤傲
HULK/DR. ROBERT BRUC,绿巨人/布鲁斯·班纳博士,男,正派,变异,伽马射线辐射导致的变异，拥有超强力量、耐力、再生能力和愤怒时体型与力量激增，并能以浩克形态保持理智。,是,8,复仇者联盟,托尼·斯塔克,7,双重人格/团队核心
PROFESSOR X/CHARLES,X教授/查尔斯·泽维尔,男,正派,变异,拥有强大的心灵感应能力，可读取思想、控制他人心智、进行精神攻击与防御，并能通过脑波强化机与全球变种人建立联系。,是,约10部,X战警,无明确核心导师，但受其父亲影响并自我成长为变种人领袖,3,团队核心
WONDER MAN/SIMON WIL,神力人/西蒙·威廉姆斯,男,正派,变异,拥有超人的力量、速度、耐力、飞行能力，以及能量投射和离子形态转换能力。,否,0,复仇者联盟,汉克·皮姆,4,团队核心
