English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,degree_score,betweenness_score,faction_id,Cross_Index,Image_URL,Loyalty_Score
CAPTAIN AMERICA,美国队长,男,正派,科技,通过超级士兵血清获得远超常人的力量、速度、耐力、敏捷和自愈能力，精通各种格斗技巧和战术，使用振金盾牌作为主要武器。,是,10,复仇者联盟,亚伯拉罕·厄斯金博士,2,团队核心,0.3114575214341387,0.0626517068112438,12,0.9544,pic\heroes\CAPTAIN AMERICA (STEVE ROGERS).jpg,0.1272
SPIDER-MAN/PETER PARKER,蜘蛛侠/彼得·帕克,男,英雄,变异能力,超人类力量、速度、敏捷性、耐力、反应能力；蜘蛛感应（危险预警）；手腕可发射生物蛛丝（早期为自制装置，后为纳米战衣内置）；超凡的攀爬与吸附能力；天才级智力，擅长工程与发明。,是,6,复仇者联盟,托尼·斯塔克（钢铁侠）,9,全网战略枢纽 / 核心连接者,0.2706157443491816,0.0790959498339606,1,0.9511,pic\heroes\SPIDER-MAN.jpg,0.0
IRON MAN/TONY STARK,钢铁侠/托尼·斯塔克,男,正派,科技,依靠高科技战甲，具备飞行、能量炮、防御力场、人工智能辅助战斗等能力。,是,10,复仇者联盟,霍华德·斯塔克,7,团队核心,0.2367887763055339,0.0354777894849685,2,0.9379,pic\heroes\IRON MAN.jpg,0.156
THING/BENJAMIN J. GRIMM,石头人/本杰明·雅各布·格林,男,正派,变异,全身覆盖岩石皮肤，拥有超强力量和防御力，可承受极端物理冲击，但行动相对笨重。,否,0,神奇四侠,里德·理查兹,3,团队核心,0.2204208885424785,0.0249379257562924,2,0.9308,pic\heroes\THING_BENJAMIN_J__GR.jpg,0.1697
MR. FANTASTIC/REED RICHARDS,神奇先生/里德·理查兹,男,正派,变异,身体具有超强弹性和可塑性，能随意拉伸、变形，智力超群，是顶尖科学家和发明家。,是,1,神奇四侠,无,3,团队核心,0.2143413873733437,0.0249133420246079,2,0.928,pic\pic/shield_logo.webp,0.1767
WOLVERINE/LOGAN,金刚狼/罗根,男,正派,变异,拥有超强自愈因子、艾德曼合金骨骼与可伸缩的利爪，感官敏锐，战斗经验丰富。,否,约10部,X战警,X教授,7,孤傲,0.2130943102104442,0.0364131550857275,5,0.9266,pic\heroes\WOLVERINE.jpg,0.1741
SCARLET WITCH/WANDA,绯红女巫/旺达·马克西莫夫,女,正派/反派,魔法/变异,混沌魔法，现实扭曲，能量投射，心灵感应，飞行，概率操控，创造幻象。,是,5,复仇者联盟,阿加莎·哈克尼斯,9,孤傲/情感驱动,0.20576773187841,0.0154629530467616,2,0.9209,pic\heroes\SCARLET WITCH.jpg,0.0
THOR/ORINSSON,雷神/唐纳德·布莱克博士,男,正派,神力,拥有雷神之力，可操控雷电、飞行、超强力量与耐力，使用雷神之锤姆乔尔尼尔。,是,8,复仇者联盟,奥丁,9,团队核心,0.2009353078721746,0.0248913794644273,6,0.922,pic\heroes\THOR.jpg,0.1792
BEAST/HENRY &HANK& P,野兽/亨利·菲利普·“汉克”·麦考伊,男,正派,变异,拥有超人的力量、速度、敏捷性和耐力，手脚巨大且能攀爬，智力极高，是遗传学专家。,是,约5部,X战警,X教授,3,团队核心/学者型,0.1968823070927513,0.023650689477408,5,0.9196,pic\heroes\BEAST.jpg,0.1845
VISION,幻视,非人类,正派,科技/宇宙能量,由振金和心灵宝石构成，拥有飞行、密度控制、能量发射、超强计算和网络连接能力。,是,4,复仇者联盟,托尼·斯塔克,4,理性温和,0.1926734216679657,0.0115278279732999,2,0.9134,pic\heroes\VISION.jpg,0.1853
HAWK,鹰眼,男,正派,格斗,世界顶级弓箭手，精通各种武器和格斗技巧，无超能力但拥有卓越的战术头脑和精准射击能力。,是,6,复仇者联盟,尼克·弗瑞,3,团队核心,0.1828526890101325,0.0243951221239748,2,0.9156,pic\heroes\DARKHAWK.jpg,0.1799
WASP/JANET VAN DYNE,黄蜂女/珍妮特·范·戴因,女,正派,科技,通过皮姆粒子缩小身体至亚原子级别，获得飞行能力，并能发射生物电能量冲击波。,是,2,复仇者联盟,汉克·皮姆,3,团队核心,0.1700701480904131,0.0093440284725096,2,0.9018,pic\pic/shield_logo.webp,0.1989
ANT-MAN/DR. HENRY J.,蚁人/亨利·乔纳森·皮姆博士,男,正派,科技,通过皮姆粒子缩小或放大自身及物体，与蚂蚁等昆虫沟通，控制蚁群，在亚原子领域穿梭。,是,3,复仇者联盟,无,4,孤傲,0.1685113016367888,0.0105518675832328,2,0.9086,pic\heroes\ANT-MAN.jpg,0.1813
CYCLOPS/SCOTT SUMMER,镭射眼/斯科特·萨默斯,男,正派,变异,双眼能发射红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心,0.167887763055339,0.012983062625005,5,0.8977,pic\heroes\CYCLOPS.jpg,0.2071
SHE-HULK/JENNIFER WA,女浩克/詹妮弗·沃尔特斯,女,正派,变异,通过输血获得类似浩克的超强力量、耐力、再生能力，但能保持理智和律师身份，可控制变身。,是,1,复仇者联盟,布鲁斯·班纳（浩克）,4,团队合作者,0.166796570537802,0.0136002606265423,2,0.8962,pic\pic/shield_logo.webp,0.2047
STORM/ORORO MUNROE S,暴风女/奥萝洛·门罗,女,正派,变异,能操控天气，包括召唤雷电、风暴、降雨、降雪等，并可飞行。,否,约6部,X战警,X教授,7,团队核心,0.1666406858924396,0.0119658138915072,5,0.8989,pic\heroes\STORM.jpg,0.2058
ANGEL/WARREN KENNETH,天使/沃伦·肯尼思·沃辛顿三世,男,正派,变异,拥有巨大的白色翅膀，可飞行，具备超人类力量、速度和耐力，能发射锋利的羽毛作为武器。,否,0,X战警,X教授,4,孤傲,0.1666406858924396,0.0153867479314525,5,0.8989,pic\pic/shield_logo.webp,0.2058
DR. STRANGE/STEPHEN,奇异博士/史蒂芬·斯特兰奇,男,正派,魔法,精通多元宇宙魔法，能操控时间、空间和维度，使用法器如悬浮斗篷和阿戈摩托之眼进行战斗和防御。,是,4,复仇者联盟,古一,8,孤傲,0.1658612626656274,0.0276723722223416,9,0.9083,pic\pic/shield_logo.webp,0.1974
HULK/DR. ROBERT BRUC,绿巨人/布鲁斯·班纳博士,男,正派,变异,伽马射线辐射导致的变异，拥有超强力量、耐力、再生能力和愤怒时体型与力量激增，并能以浩克形态保持理智。,是,8,复仇者联盟,托尼·斯塔克,7,双重人格/团队核心,0.1643024162120031,0.0188202879965319,2,0.9033,pic\heroes\RED HULK.jpg,0.2059
PROFESSOR X/CHARLES,X教授/查尔斯·泽维尔,男,正派,变异,拥有强大的心灵感应能力，可读取思想、控制他人心智、进行精神攻击与防御，并能通过脑波强化机与全球变种人建立联系。,是,约10部,X战警,无明确核心导师，但受其父亲影响并自我成长为变种人领袖,3,团队核心,0.1607170693686672,0.0140020862578811,5,0.8975,pic\pic/shield_logo.webp,0.2056
WONDER MAN/SIMON WIL,神力人/西蒙·威廉姆斯,男,正派,变异,拥有超人的力量、速度、耐力、飞行能力，以及能量投射和离子形态转换能力。,否,0,复仇者联盟,汉克·皮姆,4,团队核心,0.1605611847233047,0.0121440834473885,2,0.8942,pic\pic/shield_logo.webp,0.2146
