node,type
24-HOUR MAN/EMMANUEL,hero
3-D MAN/CHARLES CHAN,hero
4-D MAN/MERCURIO,hero
8-BALL/,hero
"ABBOTT, JACK",hero
ABCISSA,hero
ABEL,hero
ABOMINATION/EMIL BLO,hero
ABOMINATION | MUTANT,hero
ABOMINATRIX,hero
ABRAXAS,hero
ABSALOM,hero
ABSORBING MAN/CARL C,hero
ABSORBING MAN | MUTA,hero
ACBA,hero
"ACHEBE, REVEREND DOC",hero
ACHILLES,hero
ACHILLES II/HELMUT,hero
ACROBAT/CARL ZANTE,hero
"ADAM 3,031",hero
"ADAMS, CINDY",hero
"ADAMS, CONGRESSMAN H",hero
"ADAMS, GEORGE",hero
"ADAMS, MARTHA",hero
"ADAMS, NICOLE NIKKI",hero
"ADAMSON, JASON",hero
"ADAMSON, REBECCA",hero
ADAM X,hero
ADMIRAL PROTOCOL/,hero
ADORA CLONE,hero
ADORA,hero
ADRIA,hero
ADVA,hero
ADVENT/KYLE GROBE,hero
ADVERSARY,hero
AEGIS/TREY ROLLINS,hero
AENTAROS,hero
AFTERLIFE,hero
AGAMEMNON,hero
AGAMEMNON II/ANDREI,hero
AGAMEMNON III/,hero
AGAMOTTO,hero
"AGARN, CAPT.",hero
AGED GENGHIS,hero
"AGEE, DR. AUBREY",hero
"AGEE, REBECCA",hero
AGENT 18/JACK TRUMAN,hero
AGENT AXIS/,hero
AGENT-X/,hero
AGGAMON,hero
AGINAR,hero
AGON,hero
AGONY/,hero
"AGUIRRE, ISOBEL",hero
AHAB/RORY CAMPBELL,hero
A,hero
AHQLAU,hero
AHURA,hero
AI-CHIA,hero
AINET,hero
AIRBORNE/,hero
AIREO/AEOLUS [INHUMA,hero
AIR WALKER/ARLO SAMU,hero
AIR-WALKER/GABRIEL L,hero
AJAK/TECUMOTZIN [ETE,hero
AJAX,hero
AJAX II,hero
AJES'HA,hero
AKAFE,hero
AKULIA,hero
"AKUTAGAWA, OSAMU",hero
ALANYA,hero
ALBERIK,hero
ALBERT,hero
ALBINO/DR. AUGUSTA S,hero
