English_Name,Chinese_Name,Motto,Spec,Limit,X,Y,Scenario,Modules_JSON,Evaluation
CAPTAIN AMERICA,美国队长,自由至上|责任为先|团队忠诚,战术指挥|近身格斗|盾牌防御,拒绝不义|厌恶欺骗|排斥专制,0.3,0.8,外星入侵引发民众恐慌暴乱，复仇者内部分歧加剧危机应对难度。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""BLACK WIDOW"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于道德准则与团队协作，在危机中优先保护平民与维护正义。
IRON MAN/TONY STARK,钢铁侠/托尼·斯塔克,技术至上|个人责任|自由意志,装甲作战|科技研发|战略分析,拒绝服从|道德洁癖|过度干预,-0.8,0.9,外星入侵引发民众暴乱，复仇者因应对策略分歧内讧。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HULK"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",高风险决策者，技术驱动型干预，易引发团队冲突。
MR. FANTASTIC/REED R,神奇先生/里德·理查兹,理性至上|科学救世|集体优先,战略规划|科技研发|跨维分析,情感迟钝|过度理性|道德模糊,0.8,-0.3,外星入侵引发民众暴乱，复仇者内部分歧加剧，需协调镇压与救援。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策高度依赖逻辑模型，忽视情感变量，易引发团队信任危机。
SCARLET WITCH/WANDA,绯红女巫/旺达·马克西莫夫,混沌魔法|情感驱动|现实改写,精神操控|能量投射|维度穿梭,情绪失控|道德模糊|现实反噬,-0.3,0.8,外星入侵引发民众暴乱，复仇者内部分歧加剧，旺达面临失控风险。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策高度依赖情感状态，混沌魔法使用存在不可预测性风险。
THOR/DR. DONALD BLAK,雷神/唐纳德·布莱克博士,神族荣耀|守护九界|雷霆正义,神级力量|风暴操控|近战格斗,傲慢冲动|魔法弱点|地球疏离,0.3,0.8,外星入侵引发民众暴乱，复仇者内部分歧加剧危机,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HULK"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于神族荣誉准则，易受情感驱动，战术评估风险较高
BEAST/HENRY &HANK& P,野兽/亨利·菲利普·“汉克”·麦考伊,科学至上|理性优先|变种人权,生物工程|战略分析|基因突变,道德困境|科学伦理|身份认同,0.3,0.6,外星入侵引发民众恐慌暴乱，复仇者内部分裂应对策略。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""PROFESSOR_X"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""WOLVERINE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于科学理性与道德权衡，易在伦理与效率间产生矛盾。
VISION,幻视,逻辑至上|生命保护|集体利益,相位变换|能量投射|数据分析,情感干扰|心灵宝石|道德困境,0.3,0.8,外星入侵引发民众恐慌暴乱，复仇者因应对策略分歧内讧，幻视需平衡多方矛盾。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""THOR"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策基于理性计算与最小伤亡原则，但易受情感与宝石影响导致逻辑偏差。
HAWK,鹰眼,忠诚至上|任务优先|家庭守护,远程狙击|战术分析|隐蔽渗透,情感波动|孤立倾向|装备依赖,0.8,-0.3,外星入侵引发民众暴乱，复仇者内讧加剧城市混乱，需快速稳定局势。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""BLACK WIDOW"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于数据驱动的战术决策者，情感因素可能导致执行偏差。
WASP/JANET VAN DYNE,黄蜂女/珍妮特·范·戴因,英雄责任|团队至上|平民保护,微观潜入|空中机动|生物沟通,情感冲动|尺寸限制|能量依赖,0.3,0.4,外星入侵引发民众暴乱，复仇者内部分歧加剧危机处理难度,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON_MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN_AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",决策模式偏向情感驱动型战术响应，需强化理性风险评估机制
ANT-MAN/DR. HENRY J.,蚁人/亨利·乔纳森·皮姆博士,科学至上|责任优先|独立判断,微观潜入|技术破解|战术支援,拒绝滥用|厌恶官僚|保护家人,0.3,0.7,外星入侵引发民众暴乱，蚁人需潜入敌舰破坏核心，同时疏散平民。,"{""Tech"": {""name"": ""科技干预"", ""impact_target"": ""IRON MAN"", ""order"": 0.5, ""cohesion"": -0.2, ""trust"": 0.1}, ""Diplomacy"": {""name"": ""外交斡旋"", ""impact_target"": ""CAPTAIN AMERICA"", ""order"": -0.1, ""cohesion"": 0.6, ""trust"": 0.3}, ""Force"": {""name"": ""武力清剿"", ""impact_target"": ""HAWKEYE"", ""order"": 0.7, ""cohesion"": 0.1, ""trust"": -0.5}}",基于科学逻辑的决策者，优先技术方案，但易因独立倾向降低团队协同。
